YEAR-MONTH,Raffles,EMB,EMLC
2016-01-31,100,100,100
2016-02-29,100,101,101
2016-03-31,100,104,110
2016-04-30,118,106,112
2016-05-31,118,106,106
2016-06-30,118,110,113
2016-07-31,130,111,114
2016-08-31,130,113,113
2016-09-30,130,113,115
2016-10-31,141,111,114
2016-11-30,141,107,105
2016-12-31,141,108,108
2017-01-31,148,111,111
2017-02-28,148,112,112
2017-03-31,148,113,115
2017-04-30,155,115,116
2017-05-31,155,115,118
2017-06-30,155,115,119
2017-07-31,160,116,121
2017-08-31,160,118,123
2017-09-30,160,118,122
2017-10-31,162,118,119
2017-11-30,162,118,121
2017-12-31,162,119,123
2018-01-31,168,119,128
2018-02-28,168,116,127
2018-03-31,168,117,128
2018-04-30,171,114,123
2018-05-31,171,113,118
2018-06-30,171,112,113
2018-07-31,173,115,116
2018-08-31,173,112,108
2018-09-30,173,114,111
2018-10-31,175,111,109
2018-11-30,175,111,112
2018-12-31,175,111,113
2019-01-31,161,119,120
2019-02-28,161,119,118
2019-03-31,161,121,116
2019-04-30,174,121,116
2019-05-31,174,121,117
2019-06-30,174,126,123
2019-07-31,178,127,123
2019-08-31,178,129,118
2019-09-30,178,127,119
2019-10-31,176,128,123
2019-11-30,176,127,120
2019-12-31,176,130,124
2020-01-31,189,133,124
2020-02-29,189,130,120
2020-03-31,189,111,106
2020-04-30,148,116,108
2020-05-31,148,123,116
2020-06-30,148,127,116
2020-07-31,176,132,119
2020-08-31,176,133,120
2020-09-30,176,130,118
2020-10-31,190,129,118
2020-11-30,190,135,124
2020-12-31,190,137,128
2021-01-31,226,136,127
2021-02-28,226,131,123
2021-03-31,226,130,120
2021-04-30,240,133,122
2021-05-31,240,135,126
2021-06-30,240,136,124
2021-07-31,250,136,123
2021-08-31,250,138,124
2021-09-30,250,134,120
2021-10-31,258,134,118
2021-11-30,258,132,115
2021-12-31,258,134,116
2022-01-31,256,130,117
2022-02-28,256,123,111
2022-03-31,256,121,111
2022-04-30,235,113,104
2022-05-31,235,114,106
2022-06-30,235,107,102
2022-07-31,240,111,101
2022-08-31,240,108,101
2022-09-30,240,101,96
2022-10-31,218,101,96
2022-11-30,218,111,103
2022-12-31,218,109,104
2023-01-31,225,114,109
2023-02-28,225,111,105
2023-03-31,225,112,109
2023-04-30,245,113,110
2023-05-31,245,111,110
2023-06-30,245,114,112
2023-07-31,250,116,115
2023-08-31,250,114,112
2023-09-30,250,110,107
2023-10-31,230,109,106
2023-11-30,230,116,112
2023-12-31,230,121,115
2024-01-31,268,120,115
2024-02-29,268,120,114
2024-03-31,268,123,113
2024-04-30,265,120,110
2024-05-31,265,123,114
2024-06-30,265,123,111
2024-07-31,263,126,114
2024-08-31,263,129,117
2024-09-30,263,132,121
2024-10-31,283,128,115
2024-11-30,283,131,115
2024-12-31,283,127,112
2025-01-31,269,130,115
2025-02-28,269,133,116
2025-03-31,269,131,117
2025-04-30,277,131,121
2025-05-31,277,132,122
2025-06-30,277,136,126
2025-07-31,278,137,125
2025-08-31,278,139,128
2025-09-30,278,141,129
2025-10-31,292,144,130
