"YEAR-MONTH","Raffles","TLT"
"01/01/2016","100,00","100,00"
"01/02/2016","106,00","106,00"
"01/03/2016","112,00","109,00"
"01/04/2016","118,00","109,00"
"01/05/2016","124,00","108,00"
"01/06/2016","124,00","109,00"
"01/07/2016","131,00","117,00"
"01/08/2016","135,00","119,00"
"01/09/2016","140,00","118,00"
"01/10/2016","141,00","116,00"
"01/11/2016","145,00","111,00"
"01/12/2016","149,00","102,00"
"01/01/2017","148,00","101,00"
"01/02/2017","152,00","102,00"
"01/03/2017","155,00","104,00"
"01/04/2017","156,00","103,00"
"01/05/2017","159,00","105,00"
"01/06/2017","162,00","107,00"
"01/07/2017","160,00","108,00"
"01/08/2017","163,00","107,00"
"01/09/2017","166,00","111,00"
"01/10/2017","162,00","108,00"
"01/11/2017","165,00","108,00"
"01/12/2017","167,00","109,00"
"01/01/2018","168,00","110,00"
"01/02/2018","171,00","107,00"
"01/03/2018","173,00","104,00"
"01/04/2018","172,00","107,00"
"01/05/2018","174,00","105,00"
"01/06/2018","176,00","107,00"
"01/07/2018","173,00","107,00"
"01/08/2018","175,00","106,00"
"01/09/2018","178,00","107,00"
"01/10/2018","175,00","104,00"
"01/11/2018","177,00","101,00"
"01/12/2018","179,00","103,00"
"01/01/2019","162,00","109,00"
"01/02/2019","163,00","110,00"
"01/03/2019","164,00","108,00"
"01/04/2019","175,00","114,00"
"01/05/2019","176,00","112,00"
"01/06/2019","178,00","119,00"
"01/07/2019","178,00","120,00"
"01/08/2019","180,00","121,00"
"01/09/2019","181,00","134,00"
"01/10/2019","176,00","130,00"
"01/11/2019","178,00","129,00"
"01/12/2019","179,00","128,00"
"01/01/2020","190,00","124,00"
"01/02/2020","191,00","134,00"
"01/03/2020","193,00","143,00"
"01/04/2020","148,00","152,00"
"01/05/2020","149,00","154,00"
"01/06/2020","149,00","151,00"
"01/07/2020","177,00","152,00"
"01/08/2020","178,00","158,00"
"01/09/2020","179,00","150,00"
"01/10/2020","191,00","152,00"
"01/11/2020","192,00","146,00"
"01/12/2020","193,00","149,00"
"01/01/2021","227,00","147,00"
"01/02/2021","229,00","142,00"
"01/03/2021","231,00","134,00"
"01/04/2021","241,00","127,00"
"01/05/2021","243,00","130,00"
"01/06/2021","245,00","130,00"
"01/07/2021","250,00","135,00"
"01/08/2021","252,00","140,00"
"01/09/2021","254,00","140,00"
"01/10/2021","259,00","136,00"
"01/11/2021","261,00","139,00"
"01/12/2021","263,00","143,00"
"01/01/2022","256,00","140,00"
"01/02/2022","258,00","135,00"
"01/03/2022","260,00","133,00"
"01/04/2022","236,00","125,00"
"01/05/2022","237,00","113,00"
"01/06/2022","239,00","111,00"
"01/07/2022","240,00","109,00"
"01/08/2022","242,00","112,00"
"01/09/2022","244,00","107,00"
"01/10/2022","219,00","98,00"
"01/11/2022","220,00","92,00"
"01/12/2022","221,00","99,00"
"01/01/2023","225,00","96,00"
"01/02/2023","227,00","104,00"
"01/03/2023","228,00","99,00"
"01/04/2023","246,00","103,00"
"01/05/2023","247,00","104,00"
"01/06/2023","249,00","101,00"
"01/07/2023","251,00","101,00"
"01/08/2023","252,00","98,00"
"01/09/2023","254,00","95,00"
"01/10/2023","231,00","88,00"
"01/11/2023","232,00","83,00"
"01/12/2023","233,00","91,00"
"01/01/2024","268,00","97,00"
"01/02/2024","270,00","95,00"
"01/03/2024","272,00","93,00"
"01/04/2024","266,00","93,00"
"01/05/2024","267,00","87,00"
"01/06/2024","269,00","90,00"
"01/07/2024","263,00","91,00"
"01/08/2024","265,00","94,00"
"01/09/2024","266,00","96,00"
"01/10/2024","284,00","98,00"
"01/11/2024","286,00","90,00"
"01/12/2024","287,00","92,00"
"01/01/2025","269,00","86,00"
"01/02/2025","271,00","87,00"
"01/03/2025","272,00","91,00"
"01/04/2025","277,00","90,00"
