YEAR-MONTH,Raffles,TLT
2016-01-31,100,100
2016-02-29,100,102
2016-03-31,100,102
2016-04-30,118,102
2016-05-31,118,102
2016-06-30,118,109
2016-07-31,130,112
2016-08-31,130,111
2016-09-30,130,109
2016-10-31,141,104
2016-11-30,141,96
2016-12-31,141,95
2017-01-31,148,96
2017-02-28,148,97
2017-03-31,148,97
2017-04-30,155,98
2017-05-31,155,100
2017-06-30,155,101
2017-07-31,160,100
2017-08-31,160,104
2017-09-30,160,101
2017-10-31,162,101
2017-11-30,162,102
2017-12-31,162,104
2018-01-31,168,101
2018-02-28,168,97
2018-03-31,168,100
2018-04-30,171,98
2018-05-31,171,100
2018-06-30,171,101
2018-07-31,173,99
2018-08-31,173,101
2018-09-30,173,98
2018-10-31,175,95
2018-11-30,175,97
2018-12-31,175,102
2019-01-31,161,103
2019-02-28,161,101
2019-03-31,161,107
2019-04-30,174,105
2019-05-31,174,112
2019-06-30,174,113
2019-07-31,178,113
2019-08-31,178,126
2019-09-30,178,123
2019-10-31,176,121
2019-11-30,176,121
2019-12-31,176,117
2020-01-31,189,126
2020-02-29,189,134
2020-03-31,189,143
2020-04-30,148,145
2020-05-31,148,142
2020-06-30,148,142
2020-07-31,176,149
2020-08-31,176,141
2020-09-30,176,142
2020-10-31,190,138
2020-11-30,190,140
2020-12-31,190,138
2021-01-31,226,133
2021-02-28,226,125
2021-03-31,226,119
2021-04-30,240,122
2021-05-31,240,122
2021-06-30,240,127
2021-07-31,250,132
2021-08-31,250,132
2021-09-30,250,128
2021-10-31,258,131
2021-11-30,258,134
2021-12-31,258,132
2022-01-31,256,127
2022-02-28,256,124
2022-03-31,256,118
2022-04-30,235,107
2022-05-31,235,104
2022-06-30,235,103
2022-07-31,240,105
2022-08-31,240,100
2022-09-30,240,92
2022-10-31,218,87
2022-11-30,218,93
2022-12-31,218,90
2023-01-31,225,98
2023-02-28,225,93
2023-03-31,225,97
2023-04-30,245,97
2023-05-31,245,94
2023-06-30,245,95
2023-07-31,250,92
2023-08-31,250,89
2023-09-30,250,82
2023-10-31,230,78
2023-11-30,230,85
2023-12-31,230,92
2024-01-31,268,91
2024-02-29,268,89
2024-03-31,268,89
2024-04-30,265,84
2024-05-31,265,86
2024-06-30,265,88
2024-07-31,263,91
2024-08-31,263,93
2024-09-30,263,95
2024-10-31,283,89
2024-11-30,283,91
2024-12-31,283,85
2025-01-31,269,86
2025-02-28,269,91
2025-03-31,269,90
2025-04-30,277,88
2025-05-31,277,85
2025-06-30,277,88
2025-07-31,278,87
2025-08-31,278,87
2025-09-30,278,90
2025-10-31,292,91
