YEAR-MONTH,Raffles,TLT,LQD
2016-01-01,100.00,100.00,100.00
2016-02-01,105.80,102.89,100.75
2016-03-01,111.53,102.79,104.40
2016-04-01,118.00,102.02,106.03
2016-05-01,122.13,102.85,105.50
2016-06-01,126.55,109.97,108.76
2016-07-01,130.98,112.31,110.17
2016-08-01,134.42,111.17,110.38
2016-09-01,137.95,109.50,110.03
2016-10-01,141.46,104.70,108.35
2016-11-01,143.76,96.09,104.92
2016-12-01,146.02,95.39,105.50
2017-01-01,148.39,96.61,106.23
2017-02-01,150.91,97.93,107.34
2017-03-01,153.21,97.31,107.02
2017-04-01,155.81,98.82,108.30
2017-05-01,157.33,100.69,109.74
2017-06-01,158.93,101.49,110.28
2017-07-01,160.48,100.82,111.12
2017-08-01,161.07,104.25,111.87
2017-09-01,161.67,101.84,111.82
2017-10-01,162.25,101.80,112.03
2017-11-01,164.27,102.55,111.89
2017-12-01,166.26,104.20,113.02
2018-01-01,168.33,101.22,112.17
2018-02-01,169.48,97.94,109.36
2018-03-01,170.53,100.75,109.96
2018-04-01,171.70,98.63,108.23
2018-05-01,172.27,100.60,108.79
2018-06-01,172.85,101.24,108.24
2018-07-01,173.42,99.79,109.70
2018-08-01,174.00,101.10,109.73
2018-09-01,174.58,98.21,109.57
2018-10-01,175.15,95.33,107.32
2018-11-01,170.55,97.02,106.91
2018-12-01,166.21,102.46,108.57
2019-01-01,161.84,103.33,112.94
2019-02-01,166.19,101.68,112.37
2019-03-01,170.22,107.36,115.65
2019-04-01,174.79,105.22,116.16
2019-05-01,175.93,112.42,118.09
2019-06-01,177.12,113.50,121.91
2019-07-01,178.28,113.80,122.24
2019-08-01,177.68,126.37,127.00
2019-09-01,177.08,123.01,126.05
2019-10-01,176.50,121.64,126.62
2019-11-01,180.85,121.15,127.22
2019-12-01,185.17,117.09,127.55
2020-01-01,189.74,126.51,131.37
2020-02-01,174.34,134.67,132.46
2020-03-01,161.07,143.29,124.09
2020-04-01,148.00,145.04,130.12
2020-05-01,156.86,142.50,133.33
2020-06-01,166.58,142.99,136.17
2020-07-01,176.56,149.34,140.41
2020-08-01,181.20,141.82,137.94
2020-09-01,185.96,142.91,137.33
2020-10-01,190.68,138.09,136.62
2020-11-01,202.19,140.38,141.79
2020-12-01,213.99,138.52,141.73
2021-01-01,226.91,133.76,139.69
2021-02-01,231.51,125.95,136.26
2021-03-01,235.75,119.33,134.24
2021-04-01,240.53,122.29,135.65
2021-05-01,243.66,122.28,136.50
2021-06-01,246.94,127.69,139.52
2021-07-01,250.15,132.45,141.51
2021-08-01,253.06,132.01,141.03
2021-09-01,256.01,128.17,138.91
2021-10-01,258.90,131.33,139.63
2021-11-01,257.94,134.97,139.45
2021-12-01,257.01,132.11,139.16
2022-01-01,256.06,127.24,134.66
2022-02-01,248.81,124.98,131.54
2022-03-01,242.44,118.19,127.72
2022-04-01,235.57,107.03,119.15
2022-05-01,237.11,104.60,121.36
2022-06-01,238.72,103.26,116.94
2022-07-01,240.28,105.75,122.10
2022-08-01,232.77,100.95,116.73
2022-09-01,225.49,92.61,109.71
2022-10-01,218.66,87.06,108.83
2022-11-01,220.92,93.28,116.10
2022-12-01,223.13,90.62,113.94
2023-01-01,225.44,98.02,120.56
2023-02-01,232.23,93.03,115.18
2023-03-01,238.54,97.54,119.56
2023-04-01,245.72,97.86,120.33
2023-05-01,247.33,94.91,118.17
2023-06-01,249.01,95.10,119.15
2023-07-01,250.64,92.68,119.21
2023-08-01,243.70,89.76,117.72
2023-09-01,236.95,82.61,113.52
2023-10-01,230.59,78.08,110.74
2023-11-01,242.66,85.81,119.16
2023-12-01,254.94,92.98,124.52
2024-01-01,268.29,91.48,124.87
2024-02-01,267.46,89.13,122.03
2024-03-01,266.69,89.84,123.89
2024-04-01,265.87,84.02,119.86
2024-05-01,264.98,86.43,122.49
2024-06-01,264.07,88.01,123.24
2024-07-01,263.19,91.23,126.53
2024-08-01,270.02,93.14,128.89
2024-09-01,277.03,95.01,131.41
2024-10-01,283.98,89.83,127.23
2024-11-01,278.97,91.60,129.52
2024-12-01,274.20,85.41,125.62
2025-01-01,269.36,86.47,127.24
2025-02-01,272.12,91.07,129.79
2025-03-01,274.63,90.01,129.16
2025-04-01,277.44,88.74,128.81
2025-05-01,277.72,85.89,129.05
2025-06-01,278.00,88.17,131.78
2025-07-01,278.28,87.17,131.67
2025-08-01,283.07,87.17,132.99
2025-09-01,287.95,90.30,135.56
2025-10-01,292.75,91.58,135.74
